orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber
10100,2003-01-06,2003-01-13,2003-01-10,Shipped,NULL,363
10101,2003-01-09,2003-01-18,2003-01-11,Shipped,"Check on availability.",128
10102,2003-01-10,2003-01-18,2003-01-14,Shipped,NULL,181
10103,2003-01-29,2003-02-07,2003-02-02,Shipped,NULL,121
10104,2003-01-31,2003-02-09,2003-02-01,Shipped,NULL,141
10105,2003-02-11,2003-02-21,2003-02-12,Shipped,NULL,145
10106,2003-02-17,2003-02-24,2003-02-21,Shipped,NULL,278
10107,2003-02-24,2003-03-03,2003-02-26,Shipped,"Difficult to negotiate with customer. We need more marketing materials",131
10108,2003-03-03,2003-03-12,2003-03-08,Shipped,NULL,385
10109,2003-03-10,2003-03-19,2003-03-11,Shipped,"Customer requested that FedEx Ground is used for this shipping",486
